Ei fu. Siccome immobile, | riga1
Dato il mortal sospiro, | riga2
Stette la spoglia immemore | riga3
Orba di tanto spiro, | riga4
Così percossa, attonita | riga5
La terra al nunzio sta, | riga6
 | riga7
Muta pensando all’ultima | riga8
Ora dell’uom fatale; | riga9
Nè sa quando una simile | riga10
Orma di piè mortale | riga11
La sua cruenta polvere | riga12
A calpestar verrà. | riga13
 | riga14
Lui folgorante in solio | riga15
Vide il mio genio e tacque; | riga16
Quando, con vece assidua, | riga17
Cadde, risorse e giacque, | riga18
Di mille voci al sonito | riga19
Mista la sua non ha: | riga20
 | riga21
Vergin di servo encomio | riga22
E di codardo oltraggio, | riga23
Sorge or commosso al subito | riga24
Sparir di tanto raggio: | riga25
E scioglie all’urna un cantico | riga26
Che forse non morrà. | riga27
 | riga28
Dall’Alpi alle Piramidi, | riga29
Dal Manzanarre al Reno, | riga30
Di quel securo il fulmine | riga31
Tenea dietro al baleno; | riga32
Scoppiò da Scilla al Tanai, | riga33
Dall’uno all’altro mar. | riga34
 | riga35
Fu vera gloria? Ai posteri | riga36
L’ardua sentenza: nui | riga37
Chiniam la fronte al Massimo | riga38
Fattor, che volle in lui | riga39
Del creator suo spirito | riga40
Più vasta orma stampar. | riga41
 | riga42
La procellosa e trepida | riga43
Gioia d’un gran disegno, | riga44
L’ansia d’un cor che indocile | riga45
Serve, pensando al regno; | riga46
E il giunge, e tiene un premio | riga47
Ch’era follia sperar; | riga48
 | riga49
Tutto ei provò: la gloria | riga50
Maggior dopo il periglio, | riga51
La fuga e la vittoria, | riga52
La reggia e il tristo esiglio: | riga53
Due volte nella polvere, | riga54
Due volte sull’altar. | riga55
 | riga56
Ei si nomò: due secoli, | riga57
L’un contro l’altro armato, | riga58
Sommessi a lui si volsero, | riga59
Come aspettando il fato; | riga60
Ei fe’ silenzio, ed arbitro | riga61
S’assise in mezzo a lor. | riga62
 | riga63
E sparve, e i dì nell’ozio | riga64
Chiuse in sì breve sponda, | riga65
Segno d’immensa invidia | riga66
E di pietà profonda, | riga67
D’inestinguibil odio | riga68
E d’indomato amor. | riga69
 | riga70
Come sul capo al naufrago | riga71
L’onda s’avvolve e pesa, | riga72
L’onda su cui del misero, | riga73
Alta pur dianzi e tesa, | riga74
Scorrea la vista a scernere | riga75
Prode remote invan; | riga76
 | riga77
Tal su quell’alma il cumulo | riga78
Delle memorie scese! | riga79
Oh quante volte ai posteri | riga80
Narrar se stesso imprese, | riga81
E sull’eterne pagine | riga82
Cadde la stanca man! | riga83
 | riga84
Oh quante volte, al tacito | riga85
Morir d’un giorno inerte, | riga86
Chinati i rai fulminei, | riga87
Le braccia al sen conserte, | riga88
Stette, e dei dì che furono | riga89
L’assalse il sovvenir! | riga90
 | riga91
E ripensò le mobili | riga92
Tende, e i percossi valli, | riga93
E il lampo de’ manipoli, | riga94
E l’onda dei cavalli, | riga95
E il concitato imperio, | riga96
E il celere ubbidir. | riga97
 | riga98
Ahi! forse a tanto strazio | riga99
Cadde lo spirto anelo, | riga100
E disperò: ma valida | riga101
Venne una man dal cielo, | riga102
E in più spirabil aere | riga103
Pietosa il trasportò; | riga104
 | riga105
E l’avviò, pei floridi | riga106
Sentier della speranza, | riga107
Ai campi eterni, al premio | riga108
Che i desidéri avanza, | riga109
Dov’è silenzio e tenebre | riga110
La gloria che passò. | riga111
 | riga112
Bella Immortal! benefica | riga113
Fede ai trionfi avvezza! | riga114
Scrivi ancor questo, allegrati; | riga115
Chè più superba altezza | riga116
Al disonor del Golgota | riga117
Giammai non si chinò. | riga118
 | riga119
Tu dalle stanche ceneri | riga120
Sperdi ogni ria parola: | riga121
Il Dio che atterra e suscita, | riga122
Che affanna e che consola, | riga123
Sulla deserta coltrice | riga124
Accanto a lui posò. | riga125
